PHX,ID - 1,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,Free Throw Rt,Free Throw %
,8,Dylan,Windler,0.53,0.41,0.5,0.08,0.14,0.18,0.2,0.75
,9,Larry,Nance Jr.,0.57,0.32,0.8,0.17,0.18,0.16,0.2,0.75
,10,Ante,Zizic,0.56,0,1,0.07,0.16,0.18,0.2,0.75
,11,John,Henson,0.56,0.35,0.54,0.1,0.2,0.18,0.2,0.75
,12,Kevin,Porter Jr.,0.44,0.36,0.56,0.07,0.08,0.16,0.2,0.75
DET,ID - 23,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Reggie,Jackson,0.47,0.37,0.58,0.25,0.06,0.25,0.2,0.75
,2,Bruce,Brown,0.46,0.28,0.7,0.09,0.07,0.13,0.2,0.75
,3,Tony,Snell,0.51,0.4,0.42,0.07,0.06,0.13,0.2,0.75
,4,Blake,Griffin,0.61,0.36,0.63,0.27,0.12,0.32,0.2,0.75
,5,Andre,Drummond,0.54,0.12,0.95,0.07,0.25,0.25,0.2,0.75
,6,Derrick,Rose,0.49,0.36,0.8,0.26,0.05,0.27,0.2,0.75
,7,Luke,Kennard,0.47,0.4,0.49,0.12,0.07,0.18,0.2,0.75
,8,Joe,Johnson,0.48,0.29,0.64,0.1,0.08,0.16,0.2,0.75
,9,Markieff,Morris,0.44,0.33,0.62,0.07,0.12,0.19,0.2,0.75
,10,Thon,Maker,0.45,0.3,0.44,0.07,0.11,0.14,0.2,0.75
,11,Langston,Galloway,0.45,0.35,0.35,0.07,0.06,0.16,0.2,0.75
,12,Sekou,Doumbouya,0.57,0.33,0.5,0.05,0.08,0.15,0.2,0.75
IND,ID - 24,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
